k,a_mm,p0_MPa,p0_GPa,pressure_severity_index,crack_suppression_indicator
0.23433734939759,0.467093660165391,7078.13362012071,7.07813362012071,0.606524387753298,0.393475612246702
0.238273092369478,0.467849626154582,7063.86326453084,7.06386326453084,0.605301562761331,0.394698437238669
0.242208835341365,0.468610747287877,7049.49297400338,7.04949297400338,0.604070174357017,0.395929825642983
0.246144578313253,0.469377066328277,7035.02285393188,7.03502285393188,0.602830231571516,0.397169768428484
0.250080321285141,0.470148626939863,7020.45300096818,7.02045300096818,0.601581742686911,0.398418257313089
0.254016064257028,0.470925473704859,7005.78350297461,7.00578350297461,0.600324715232116,0.399675284767884
0.257951807228916,0.471707652141227,6991.01443897327,6.99101443897327,0.599059155978525,0.400940844021475
0.261887550200803,0.472495208720808,6976.14587909237,6.97614587909236,0.597785070935413,0.402214929064587
0.265823293172691,0.473288190888025,6961.17788450937,6.96117788450937,0.596502465345072,0.403497534654928
0.269759036144578,0.474086647079175,6946.11050739115,6.94611050739115,0.595211343677675,0.404788656322325
0.273694779116466,0.474890626742318,6930.9437908309,6.9309437908309,0.593911709625869,0.406088290374131
0.277630522088353,0.475700180357786,6915.67776878178,6.91567776878178,0.5926035660991,0.4073964339009
0.281566265060241,0.476515359459338,6900.31246598726,6.90031246598726,0.59128691521763,0.40871308478237
0.285502008032128,0.477336216655967,6884.84789790804,6.88484789790804,0.589961758306287,0.410038241693713
0.289437751004016,0.4781628056544,6869.28407064557,6.86928407064557,0.588628095887901,0.411371904112099
0.293373493975904,0.478995181282302,6853.62098086189,6.85362098086189,0.587285927676443,0.412714072323557
0.297309236947791,0.479833399512202,6837.85861569594,6.83785861569594,0.585935252569853,0.414064747430147
0.301244979919679,0.480677517486188,6821.9969526761,6.8219969526761,0.584576068642538,0.415423931357462
0.305180722891566,0.481527593541364,6806.03595962893,6.80603595962893,0.58320837313756,0.41679162686244
0.309116465863454,0.482383687236132,6789.97559458396,6.78997559458396,0.581832162458476,0.418167837541524
0.313052208835341,0.483245859377296,6773.81580567454,6.77381580567454,0.580447432160838,0.419552567839162
0.316987951807229,0.484114172048033,6757.55653103451,6.75755653103451,0.579054176943343,0.420945823056657
0.320923694779116,0.484988688636763,6741.1976986907,6.7411976986907,0.577652390638621,0.422347609361379
0.324859437751004,0.485869473866938,6724.73922645114,6.72473922645114,0.576242066203648,0.423757933796352
0.328795180722892,0.486756593827793,6708.18102178866,6.70818102178866,0.574823195709786,0.425176804290214
0.332730923694779,0.487650116006091,6691.52298172015,6.69152298172015,0.573395770332424,0.426604229667576
0.336666666666667,0.488550109318893,6674.76499268096,6.67476499268096,0.57195978034022,0.42804021965978
0.340602409638554,0.489456644147403,6657.90693039455,6.65790693039455,0.570515215083935,0.429484784916065
0.344538152610442,0.490369792371905,6640.94865973719,6.64094865973719,0.569062062984832,0.430937937015168
0.348473895582329,0.491289627407863,6623.89003459753,6.62389003459753,0.567600311522647,0.432399688477353
0.352409638554217,0.492216224243194,6606.7308977309,6.6067308977309,0.566129947223106,0.433870052776894
0.356345381526104,0.49314965947679,6589.47108060832,6.58947108060832,0.56465095564498,0.43534904435502
0.360281124497992,0.494090011358304,6572.11040325978,6.57211040325978,0.563163321366663,0.436836678633337
0.36421686746988,0.495037359829283,6554.64867411193,6.55464867411193,0.561667027972256,0.438332972027744
0.368152610441767,0.495991786565665,6537.08568981979,6.53708568981979,0.560162058037155,0.439837941962845
0.372088353413655,0.496953375021719,6519.42123509238,6.51942123509238,0.558648393113102,0.441351606886898
0.376024096385542,0.497922210475472,6501.6550825121,6.5016550825121,0.557126013712711,0.442873986287289
0.37995983935743,0.498898380075677,6483.78699234758,6.48378699234758,0.555594899293431,0.444405100706569
