P_N,a_hom_mm,a_fgm_mm,h_hom_mm,h_fgm_mm,p0_hom_MPa,p0_fgm_MPa,p0_hom_GPa,p0_fgm_GPa,severity_index,pressure_reduction_percent,a_over_D_hom,a_over_D_fgm
1165.82914572864,0.255662654640386,0.40584297220922,0.0137318052474305,0.0231146491991846,8516.11871218595,3939.4411096982,8.51611871218595,3.9394411096982,0.462586448455814,53.7413551544186,0.0268553208655868,0.0426305643076912
1178.391959799,0.256577704154074,0.407088778823272,0.0138302769472637,0.0232567759951027,8546.59899604693,3957.55784775297,8.54659899604693,3.95755784775297,0.4630564566775,53.69435433225,0.0269514395119825,0.0427614263469824
1190.95477386935,0.257486273011203,0.408325137655219,0.0139283993254622,0.0233982556206465,8576.86340934731,3975.56445755302,8.57686340934731,3.97556445755302,0.463521950602634,53.6478049397366,0.0270468774171432,0.0428912959721869
1203.5175879397,0.258388474751905,0.409552218891212,0.014026177286684,0.0235390978032697,8606.91573410691,3993.46275975182,8.60691573410691,3.99346275975182,0.463983020529269,53.6016979470731,0.027141646507553,0.0430201910600013
1216.08040201005,0.259284419766649,0.410770187913674,0.0141236156163294,0.0236793120244179,8636.75964743045,4011.25452626741,8.63675964743045,4.01125452626741,0.464439754029835,53.5560245970164,0.0272357583788497,0.0431481289825288
1228.6432160804,0.260174215415151,0.411979205484942,0.0142207189846406,0.0238189075282223,8666.39872546821,4028.94148207552,8.66639872546821,4.02894148207552,0.464892236060585,53.5107763939415,0.0273292243083142,0.0432751266265696
1241.20603015075,0.261057966139616,0.413179427922088,0.0143174919506204,0.0239578933298002,8695.83644718831,4046.52530691917,8.69583644718831,4.04652530691917,0.465340549065589,53.4659450934411,0.0274220552667664,0.0434012004119841
1253.76884422111,0.261935773572658,0.414371007263434,0.0144139389657788,0.0240962782231849,8725.0761979714,4064.00763693931,8.7250761979714,4.06400763693931,0.465784773075587,53.4215226924413,0.0275142619299011,0.0435263663091843
1266.33165829146,0.262807736640185,0.415554091427222,0.0145100643777178,0.0242340707889033,8754.12127303778,4081.39006623099,8.75412127303778,4.08139006623099,0.466224985801996,53.3775014198004,0.0276058546890951,0.0436506398558007
1278.89447236181,0.263673951659538,0.416728824362896,0.0146058724335622,0.0243712794012228,8782.97488071647,4098.6741483292,8.78297488071647,4.0986741483292,0.466661262726377,53.3338737273623,0.0276968436617162,0.0437740361725731
