k,a_mm,a_over_D,is_valid
0.23943143812709,0.468073097806342,0.0491673422065485,1
0.242709030100334,0.468707849780671,0.0492340178341041,1
0.245986622073579,0.469346210382964,0.0493010725192189,1
0.249264214046823,0.469988204853583,0.0493685089131915,1
0.252541806020067,0.470633858874138,0.0494363297136699,1
0.255819397993311,0.471283198574505,0.0495045376653892,1
0.259096989966555,0.47193625054003,0.0495731355609275,1
0.262374581939799,0.472593041818911,0.0496421262414823,1
0.265652173913043,0.473253599929783,0.0497115125976663,1
0.268929765886288,0.473917952869486,0.0497812975703242,1
0.272207357859532,0.474586129121046,0.0498514841513704,1
0.275484949832776,0.475258157661856,0.0499220753846488,1
0.27876254180602,0.47593406797207,0.0499930743668141,1
0.282040133779264,0.476613890043216,0.050064484248237,1
0.285317725752508,0.477297654387036,0.0501363082339324,1
0.288595317725753,0.477985392044547,0.0502085495845112,1
0.291872909698997,0.47867713459535,0.0502812116171586,1
0.295150501672241,0.479372914167172,0.0503542977066358,1
0.298428093645485,0.480072763445667,0.0504278112863096,1
0.301705685618729,0.480776715684464,0.0505017558492084,1
0.304983277591973,0.481484804715486,0.0505761349491057,1
0.308260869565217,0.482197064959542,0.0506509522016325,1
0.311538461538462,0.48291353143719,0.0507262112854191,1
0.314816053511706,0.483634239779897,0.0508019159432664,1
0.31809364548495,0.48435922624149,0.0508780699833497,1
0.321371237458194,0.485088527709912,0.0509546772804529,1
0.324648829431438,0.485822181719293,0.0510317417772367,1
0.327926421404682,0.486560226462344,0.0511092674855404,1
0.331204013377926,0.48730270080308,0.0511872584877185,1
0.334481605351171,0.488049644289892,0.0512657189380138,1
0.337759197324415,0.488801097168963,0.0513446530639667,1
0.341036789297659,0.48955710039806,0.0514240651678635,1
0.344314381270903,0.490317695660688,0.0515039596282236,1
0.347591973244147,0.491082925380638,0.0515843409013275,1
0.350869565217391,0.49185283273693,0.0516652135227867,1
0.354147157190635,0.492627461679168,0.0517465821091563,1
0.35742474916388,0.493406856943321,0.0518284513595926,1
0.360702341137124,0.494191064067933,0.051910826057556,1
0.363979933110368,0.494980129410793,0.0519937110725623,1
0.367257525083612,0.495774100166062,0.0520771113619813,1
0.370535117056856,0.496573024381887,0.0521610319728873,1
0.3738127090301,0.497376950978505,0.0522454780439606,1
0.377090301003344,0.498185929766861,0.0523304548074433,1
0.380367892976589,0.499000011467752,0.0524159675911504,1
0.383645484949833,0.499819247731522,0.052502021820538,1
0.386923076923077,0.500643691158314,0.0525886230208313,1
0.390200668896321,0.501473395318905,0.0526757768192127,1
0.393478260869565,0.502308414776149,0.0527634889470745,1
0.396755852842809,0.503148805107036,0.0528517652423357,1
0.400033444816054,0.503994622925392,0.0529406116518269,1
0.403311036789298,0.504845925905253,0.0530300342337451,1
0.406588628762542,0.505702772804915,0.0531200391601802,1
0.409866220735786,0.506565223491707,0.0532106327197171,1
0.41314381270903,0.507433338967488,0.0533018213201142,1
0.416421404682274,0.508307181394914,0.0533936114910624,1
