rho_r_over_a,pressure_GPa_k_0.1,pressure_GPa_k_0.3,pressure_GPa_k_0.497,pressure_GPa_k_0.7,pressure_GPa_k_0.9
0.382765531062124,6.8778110530647,6.15900658690307,5.24394761200571,4.04815900167572,2.34607004083443
0.384769539078156,6.87099099429018,6.15178953131813,5.23687226734502,4.04195696697063,2.34205321386275
0.386773547094188,6.8641297349222,6.14453019102111,5.22975673707295,4.03572085263839,2.33801504582377
0.38877755511022,6.85722717278013,6.13722848276567,5.2226009631378,4.02945062864818,2.33395553030203
0.390781563126253,6.85028320469815,6.12988432252702,5.21540488696171,4.02314626470594,2.32987466082772
0.392785571142285,6.84329772651527,6.12249762549441,5.2081684494359,4.0168077302522,2.32577243087627
0.394789579158317,6.83627063306525,6.11506830606355,5.20089159091577,4.0104349944597,2.32164883386791
0.396793587174349,6.82920181816632,6.10759627782885,5.19357425121595,4.0040280262311,2.31750386316723
0.398797595190381,6.82209117461078,6.10008145357562,5.1862163696053,3.9975867941966,2.31333751208269
0.400801603206413,6.81493859415444,6.09252374527212,5.17881788480178,3.99111126671155,2.30914977386618
0.402805611222445,6.80774396750584,6.08492306406148,5.17137873496733,3.98460141185403,2.30494064171255
0.404809619238477,6.8005071843154,6.07727932025352,5.1638988577026,3.97805719742234,2.30071010875912
0.406813627254509,6.79322813316435,6.06959242331645,5.15637819004162,3.97147859093255,2.29645816808519
0.408817635270541,6.78590670155346,6.06186228186843,5.14881666844644,3.96486555961592,2.29218481271161
0.410821643286573,6.77854277589166,6.05408880366899,5.14121422880163,3.95821807041636,2.2878900356002
0.412825651302605,6.77113624148448,6.04627189561038,5.13357080640873,3.9515360899878,2.2835738296533
0.414829659318637,6.76368698252224,6.03841146370871,5.12588633598061,3.94481958469153,2.27923618771324
0.416833667334669,6.75619488206812,6.03050741309502,5.11816075163576,3.93806852059355,2.27487710256183
0.418837675350701,6.74865982204605,6.02255964800618,5.11039398689244,3.93128286346181,2.27049656691984
0.420841683366733,6.74108168322835,6.01456807177567,5.10258597466286,3.92446257876346,2.26609457344644
0.422845691382766,6.73346034522328,6.00653258682418,5.09473664724715,3.91760763166204,2.26167111473871
0.424849699398798,6.72579568646224,5.99845309465014,5.08684593632729,3.91071798701464,2.25722618333103
0.42685370741483,6.71808758418694,5.99032949582003,5.07891377296095,3.90379360936902,2.25275977169458
0.428857715430862,6.71033591443626,5.98216168995857,5.07094008757527,3.89683446296064,2.24827187223674
0.430861723446894,6.7025405520329,5.97394957573876,5.06292480996048,3.88984051170975,2.24376247730055
0.432865731462926,6.69470137056989,5.96569305087181,5.05486786926345,3.88281171921832,2.23923157916409
0.434869739478958,6.6868182423968,5.95739201209677,5.04676919398117,3.875748048767,2.23467917003993
0.43687374749499,6.6788910386058,5.94904635517019,5.03862871195409,3.86864946331201,2.23010524207452
0.438877755511022,6.67091962901748,5.9406559748555,5.03044635035941,3.86151592548199,2.22550978734759
0.440881763527054,6.66290388216638,5.9322207649122,5.02222203570419,3.8543473975748,2.2208927978715
0.442885771543086,6.65484366528637,5.92374061808499,5.01395569381841,3.84714384155427,2.21625426559067
0.444889779559118,6.64673884429577,5.91521542609263,5.00564724984795,3.8399052190469,2.21159418238094
0.44689378757515,6.63858928378218,5.90664507961667,4.99729662824737,3.83263149133853,2.20691254004889
0.448897795591182,6.63039484698715,5.89802946828999,4.98890375277265,3.82532261937092,2.20220933033122
0.450901803607214,6.6221553957905,5.88936848068517,4.98046854647384,3.81797856373831,2.19748454489408
0.452905811623247,6.61387079069446,5.88066200430263,4.97199093168748,3.81059928468394,2.19273817533243
0.454909819639279,6.60554089080755,5.87190992555864,4.96347083002902,3.80318474209646,2.1879702131693
0.456913827655311,6.59716555382812,5.8631121297731,4.95490816238509,3.79573489550635,2.18318064985516
0.458917835671343,6.58874463602767,5.85426850115714,4.94630284890559,3.78824970408227,2.17836947676718
0.460921843687375,6.58027799223392,5.84537892280049,4.93765480899575,3.78072912662728,2.17353668520856
0.462925851703407,6.57176547581357,5.83644327665869,4.92896396130796,3.77317312157514,2.16868226640774
0.464929859719439,6.56320693865471,5.82746144354005,4.92023022373357,3.76558164698642,2.16380621151775
0.466933867735471,6.55460223114907,5.81843330309242,4.91145351339449,3.75795466054462,2.15890851161542
0.468937875751503,6.54595120217382,5.80935873378974,4.90263374663469,3.75029211955223,2.15398915770063
0.470941883767535,6.53725369907321,5.80023761291837,4.89377083901156,3.7425939809267,2.14904814069554
0.472945891783567,6.52850956763977,5.79106981656318,4.88486470528709,3.73486020119635,2.14408545144384
0.474949899799599,6.51971865209529,5.7818552195934,4.87591525941898,3.72709073649625,2.13910108070992
0.476953907815631,6.5108807950714,5.77259369564831,4.86692241455154,3.71928554256399,2.13409501917812
0.478957915831663,6.50199583758986,5.76328511712259,4.85788608300649,3.71144457473542,2.12906725745185
0.480961923847695,6.49306361904254,5.75392935515147,4.84880617627358,3.7035677879403,2.12401778605284
0.482965931863727,6.48408397717095,5.74452627959564,4.83968260500103,3.69565513669786,2.11894659542022
0.48496993987976,6.47505674804554,5.73507575902592,4.83051527898594,3.68770657511238,2.11385367590976
0.486973947895792,6.46598176604455,5.7255776607076,4.82130410716435,3.67972205686855,2.1087390177929
0.488977955911824,6.45685886383255,5.71603185058459,4.81204899760128,3.67170153522693,2.10360261125595
0.490981963927856,6.44768787233856,5.70643819326326,4.80274985748057,3.66364496301917,2.09844444639919
0.492985971943888,6.43846862073383,5.69679655199603,4.79340659309451,3.65555229264327,2.09326451323591
0.49498997995992,6.42920093640917,5.68710678866463,4.78401910983337,3.64742347605872,2.08806280169155
0.496993987975952,6.41988464495198,5.67736876376312,4.77458731217465,3.63925846478154,2.08283930160272
0.498997995991984,6.4105195701227,5.66758233638061,4.76511110367226,3.6310572098793,2.07759400271629
0.501002004008016,6.40110553383108,5.65774736418365,4.75559038694545,3.62281966196597,2.07232689468837
0.503006012024048,6.39164235611177,5.64786370339835,4.74602506366756,3.61454577119678,2.06703796708338
0.50501002004008,6.38212985509969,5.63793120879216,4.73641503455461,3.60623548726291,2.06172720937304
0.507014028056112,6.37256784700479,5.62794973365532,4.72676019935364,3.59788875938616,2.05639461093533
0.509018036072144,6.36295614608649,5.61791912978204,4.71706045683089,3.5895055363135,2.05104016105348
0.511022044088176,6.35329456462753,5.60783924745129,4.7073157047598,3.58108576631149,2.04566384891493
0.513026052104208,6.34358291290746,5.59770993540725,4.69752583990872,3.57262939716071,2.04026566361027
0.51503006012024,6.33382099917555,5.58753104083947,4.68769075802848,3.56413637614997,2.03484559413211
0.517034068136273,6.32400862962326,5.5773024093626,4.67781035383972,3.55560665007053,2.02940362937406
0.519038076152305,6.31414560835619,5.5670238849958,4.66788452102001,3.54704016521015,2.02393975812953
0.521042084168337,6.30423173736548,5.55669531014177,4.65791315219068,3.53843686734707,2.01845396909068
0.523046092184369,6.29426681649876,5.54631652556539,4.64789613890353,3.52979670174389,2.01294625084717
0.525050100200401,6.28425064343041,5.53588737037202,4.63783337162721,3.52111961314129,2.00741659188507
0.527054108216433,6.27418301363146,5.52540768198527,4.62772473973339,3.51240554575177,2.00186498058563
0.529058116232465,6.26406372033875,5.51487729612457,4.61757013148267,3.5036544432531,1.99629140522403
0.531062124248497,6.25389255452357,5.50429604678212,4.60736943401031,3.49486624878185,1.99069585396823
0.533066132264529,6.24366930485977,5.49366376619956,4.59712253331156,3.4860409049266,1.98507831487765
0.535070140280561,6.23339375769115,5.48298028484414,4.58682931422687,3.47717835372126,1.97943877590188
0.537074148296593,6.22306569699832,5.47224543138444,4.57648966042674,3.46827853663804,1.97377722487946
0.539078156312625,6.21268490436484,5.46145903266568,4.56610345439632,3.4593413945805,1.96809364953647
0.541082164328657,6.20225115894279,5.45062091368452,4.55567057741977,3.45036686787632,1.96238803748523
0.543086172344689,6.19176423741761,5.43973089756342,4.54519090956423,3.44135489627003,1.95666037622296
0.545090180360721,6.18122391397231,5.42878880552449,4.53466432966362,3.43230541891559,1.9509106531303
0.547094188376753,6.17062996025089,5.41779445686286,4.52409071530201,3.42321837436881,1.94513885547
0.549098196392786,6.15998214532119,5.4067476689195,4.51346994279683,3.41409370057966,1.93934497038539
0.551102204408818,6.14928023563685,5.3956482570536,4.5028018871816,3.40493133488446,1.93352898489898
0.55310621242485,6.13852399499862,5.38449603461432,4.49208642218847,3.39573121399786,1.92769088591091
0.555110220440882,6.12771318451488,5.37329081291207,4.48132342023036,3.38649327400471,1.9218306601975
0.557114228456914,6.11684756256132,5.36203240118917,4.4705127523828,3.37721745035185,1.91594829440962
0.559118236472946,6.1059268847399,5.35072060659001,4.45965428836535,3.3679036778396,1.91004377507119
0.561122244488978,6.09495090383692,5.33935523413054,4.44874789652279,3.3585518906132,1.90411708857754
0.56312625250501,6.08391936978026,5.32793608666722,4.43779344380584,3.34916202215411,1.89816822119379
0.565130260521042,6.07283202959574,5.31646296486534,4.42679079575154,3.33973400527101,1.89219715905317
0.567134268537074,6.06168862736261,5.30493566716668,4.41573981646328,3.3302677720908,1.88620388815536
