k,E0_GPa_mm_minus_k,severity_index,p0_GPa,a_mm,a_over_D,is_valid
0.05,86.6665880503145,0.660597913929394,7.70917113701802,0.434627067367501,0.0456541037150737,1
0.05,87.2032232704403,0.663277285708007,7.74043937923537,0.433748320303497,0.0455617983512077,1
0.05,87.739858490566,0.66595098710446,7.77164144814888,0.432876724737756,0.0454702441951425,1
0.05,88.2764937106918,0.668619064690969,7.80277788725582,0.432012179260271,0.0453794305945662,1
0.05,88.8131289308176,0.671281564376734,7.83384923231613,0.431154584504348,0.0452893471118012,1
0.05,89.3497641509434,0.673938531421332,7.86485601150861,0.430303843093392,0.0451999835182135,1
0.05,89.8863993710692,0.676590010447746,7.89579874558304,0.429459859589381,0.0451113297888005,1
0.05,90.423034591195,0.679236045455068,7.92667794800838,0.428622540442972,0.0450233760969508,1
0.05,90.9596698113208,0.681876679830861,7.95749412511707,0.427791793945182,0.0449361128093678,1
0.05,91.4963050314466,0.684511956363221,7.98824777624577,0.426967530180582,0.0448495304811536,1
0.05,92.0329402515723,0.687141917252518,8.01893939387238,0.426149660981947,0.0447636198510449,1
0.05,92.5695754716981,0.689766604122849,8.0495694637497,0.425338099886306,0.0446783718367968,1
0.05,93.1062106918239,0.692386058033196,8.08013846503564,0.424532762092348,0.0445937775307089,1
0.05,93.6428459119497,0.695000319488312,8.11064687042026,0.423733564419135,0.0445098281952873,1
0.05,94.1794811320755,0.697609428449327,8.14109514624958,0.42294042526606,0.04442651525904,1
0.05,94.7161163522013,0.700213424344103,8.17148375264634,0.422153264574026,0.0443438303123977,1
0.05,95.2527515723271,0.702812346077326,8.20181314362785,0.421372003787786,0.0442617651037591,1
0.05,95.7893867924528,0.705406232040353,8.23208376722085,0.420596565819416,0.0441803115356529,1
0.05,96.3260220125786,0.707995120120819,8.2622960655737,0.419826875012864,0.0440994616610152,1
0.05,96.8626572327044,0.71057904771202,8.29245047506575,0.419062857109561,0.0440192076795757,1
0.05,97.3992924528302,0.713158051722053,8.32254742641417,0.418304439215029,0.0439395419343517,1
0.05,97.935927672956,0.715732168582757,8.35258734477815,0.417551549766476,0.0438604569082432,1
0.05,98.4725628930818,0.718301434258428,8.38257064986066,0.41680411850133,0.0437819452207279,1
0.05,99.0091981132076,0.720865884254331,8.41249775600779,0.416062076426683,0.0437039996246516,1
0.05,99.5458333333333,0.723425553625016,8.44236907230581,0.415325355789615,0.0436266130031108,1
0.05,100.082468553459,0.725980476982434,8.47218500267583,0.414593890048365,0.0435497783664249,1
0.05,100.619103773585,0.728530688503868,8.50194594596641,0.413867613844328,0.0434734888491941,1
0.05,101.155738993711,0.731076221939676,8.5316522960439,0.413146462974839,0.043397737707441,1
0.05,101.692374213837,0.733617110620862,8.56130444188079,0.412430374366726,0.0433225183158326,1
0.05,102.229009433962,0.736153387466469,8.59090276764197,0.411719286050608,0.0432478241649798,1
0.05,102.765644654088,0.738685084990801,8.62044765276906,0.411013137135898,0.0431736488588128,1
0.05,103.302279874214,0.741212235310492,8.64993947206287,0.410311867786515,0.0430999861120289,1
0.05,103.83891509434,0.743734870151402,8.67937859576385,0.409615419197251,0.0430268297476104,1
0.05,104.375550314465,0.746253020855368,8.70876538963095,0.408923733570796,0.0429541736944113,1
0.05,104.912185534591,0.748766718386802,8.73810021501853,0.408236754095385,0.0428820119848094,1
0.05,105.448820754717,0.751275993339137,8.76738342895168,0.407554424923058,0.0428103387524221,1
0.05,105.985455974843,0.753780875941143,8.79661538419982,0.4068766911485,0.0427391482298845,1
0.05,106.522091194969,0.756281396063089,8.82579642934871,0.406203498788455,0.0426684347466864,1
0.05,107.058726415094,0.758777583222783,8.85492690887088,0.405534794761688,0.0425981927270681,1
0.05,107.59536163522,0.761269466591472,8.88400716319449,0.404870526869485,0.0425284166879711,1
0.05,108.131996855346,0.76375707499962,8.91303752877078,0.404210643776664,0.0424591012370445,1
0.05,108.668632075472,0.766240436942559,8.94201833813997,0.403555094993087,0.0423902410707024,1
0.05,109.205267295598,0.768719580586016,8.97094991999584,0.402903830855662,0.0423218309722334,1
0.05,109.741902515723,0.771194533771529,8.99983259924884,0.402256802510808,0.0422538658099589,1
0.05,110.278537735849,0.773665324021743,9.02866669708798,0.401613961897381,0.0421863405354392,1
0.05,110.815172955975,0.776131978545593,9.05745253104127,0.400975261730037,0.0421192501817266,1
0.05,111.351808176101,0.778594524243384,9.08619041503499,0.400340655483025,0.0420525898616623,1
0.05,111.888443396226,0.781052987711759,9.11488065945171,0.399710097374395,0.041986354766218,1
0.05,112.425078616352,0.783507395248565,9.14352357118705,0.399083542350608,0.041920540162879,1
0.05,112.961713836478,0.785957772857623,9.17211945370532,0.398460946071533,0.0418551413940686,1
0.05,113.498349056604,0.788404146253388,9.20066860709398,0.397842264895831,0.0417901538756125,1
0.05,114.03498427673,0.790846540865529,9.22917132811702,0.397227455866693,0.0417255730952409,1
0.05,114.571619496855,0.793284981843402,9.25762791026715,0.39661647669795,0.0416613946111292,1
0.05,115.108254716981,0.795719494060439,9.2860386438171,0.396009285760514,0.0415976140504742,1
0.05,115.644889937107,0.798150102118446,9.3144038158697,0.395405842069164,0.0415342271081054,1
0.05,116.181525157233,0.800576830351817,9.34272371040707,0.394806105269654,0.0414712295451318,1
0.05,116.718160377359,0.802999702831658,9.37099860833879,0.394210035626141,0.0414086171876199,1
0.05,117.254795597484,0.805418743369835,9.39922878754912,0.393617594008912,0.0413463859253059,1
0.05,117.79143081761,0.807833975522938,9.42741452294321,0.39302874188242,0.0412845317103383,1
0.05,118.328066037736,0.810245422596167,9.45555608649251,0.3924434412936,0.0412230505560504,1
0.05,118.864701257862,0.81265310764714,9.48365374727921,0.391861654860473,0.041161938535764,1
0.05,119.401336477987,0.815057053489633,9.51170777153985,0.39128334576102,0.0411011917816197,1
0.05,119.937971698113,0.817457282697238,9.53971842270802,0.390708477722321,0.0410408064834371,1
0.05,120.474606918239,0.819853817606956,9.56768596145629,0.390137015009959,0.0409807788876008,1
0.05,121.011242138365,0.822246680322717,9.59561064573733,0.389568922417663,0.040921105295973,1
0.05,121.547877358491,0.824635892718836,9.62349273082418,0.389004165257203,0.0408617820648322,1
0.05,122.084512578616,0.827021476443402,9.65133246934979,0.388442709348523,0.0408028056038365,1
0.05,122.621147798742,0.829403452921595,9.67913011134583,0.387884521010101,0.0407441723750106,1
0.05,123.157783018868,0.831781843358954,9.70688590428072,0.38732956704953,0.0406858788917574,1
0.05,123.694418238994,0.834156668744568,9.73460009309693,0.386777814754328,0.0406279217178916,1
0.05,124.23105345912,0.836527949854219,9.76227292024763,0.386229231882945,0.0405702974666959,1
0.05,124.767688679245,0.83889570725346,9.78990462573261,0.385683786655989,0.0405130027999989,1
0.05,125.304323899371,0.841259961300635,9.81749544713355,0.385141447747647,0.0404560344272739,1
0.05,125.840959119497,0.843620732149847,9.84504561964863,0.384602184277301,0.0403993891047586,1
0.05,126.377594339623,0.845978039753866,9.87255537612649,0.384065965801335,0.040343063634594,1
0.05,126.914229559748,0.848331903866989,9.90002494709957,0.383532762305126,0.0402870548639838,1
0.05,127.450864779874,0.850682344047843,9.92745456081685,0.383002544195216,0.0402313596843714,1
0.05,127.9875,0.853029379662137,9.95484444327598,0.38247528229166,0.0401759750306365,1
0.0556603773584906,42.6625,0.414665484122898,4.83914210794726,0.549084325923952,0.0576769249920118,1
0.0556603773584906,43.1991352201258,0.41807204614777,4.87889665316281,0.546842707827813,0.0574414609062829,1
0.0556603773584906,43.7357704402516,0.42146401932307,4.91848094664781,0.544637747441364,0.0572098474203114,1
0.0556603773584906,44.2724056603774,0.424841643997311,4.95789779326704,0.542468406416285,0.0569819754638955,1
0.0556603773584906,44.8090408805031,0.428205153699701,4.99714991830405,0.540333687948621,0.0567577403307375,1
0.0556603773584906,45.3456761006289,0.431554775412825,5.03623997064337,0.538232634642687,0.0565370414540638,1
0.0556603773584906,45.8823113207547,0.434890729831327,5.07517052578931,0.536164326508611,0.0563197821962827,1
0.0556603773584906,46.4189465408805,0.43821323160747,5.11394408873167,0.534127879083675,0.0561058696516466,1
0.0556603773584906,46.9555817610063,0.441522489584387,5.15256309666775,0.532122441668495,0.0558952144609764,1
0.0556603773584906,47.4922169811321,0.444818707017767,5.19102992158943,0.530147195669774,0.0556877306375813,1
0.0556603773584906,48.0288522012579,0.448102081786675,5.22934687274344,0.528201353042082,0.0554833354035801,1
0.0556603773584906,48.5654874213837,0.451372806594157,5.26751619897245,0.526284154821705,0.0552819490358934,1
0.0556603773584906,49.1021226415094,0.454631069158231,5.30554009094386,0.524394869746169,0.0550834947212362,1
0.0556603773584906,49.6387578616352,0.457877052393821,5.34342068327301,0.522532792953569,0.0548878984194925,1
0.0556603773584906,50.175393081761,0.461110934586159,5.38116005654683,0.520697244756273,0.0546950887349027,1
0.0556603773584906,50.7120283018868,0.464332889556146,5.41876023925351,0.518887569484007,0.0545049967945386,1
0.0556603773584906,51.2486635220126,0.46754308681812,5.4562232096237,0.517103134391703,0.0543175561335822,1
0.0556603773584906,51.7852987421384,0.470741691730457,5.49355089738801,0.515343328627854,0.0541327025869594,1
0.0556603773584906,52.3219339622642,0.473928865639401,5.53074518545552,0.513607562259439,0.0539503741869159,1
0.0556603773584906,52.8585691823899,0.477104766016499,5.56780791151764,0.511895265349762,0.0537705110661515,1
0.0556603773584906,53.3952044025157,0.480269546589978,5.60474086958124,0.510205887085828,0.0535930553661585,1
0.0556603773584906,53.9318396226415,0.483423357470394,5.64154581143505,0.508538894952145,0.0534179511504354,1
0.0556603773584906,54.4684748427673,0.486566345270865,5.6782244480527,0.50689377394802,0.0532451443222711,1
0.0556603773584906,55.0051100628931,0.489698653222152,5.71477845093575,0.505270025845684,0.0530745825468155,1
0.0556603773584906,55.5417452830189,0.492820421282878,5.75120945339996,0.503667168486714,0.0529062151771758,1
0.0556603773584906,56.0783805031447,0.495931786245126,5.78751905180758,0.502084735114454,0.0527399931842914,1
0.0556603773584906,56.6150157232704,0.499032881835651,5.82370880674853,0.500522273740242,0.0525758690903616,1
0.0556603773584906,57.1516509433962,0.502123838812927,5.85978024417292,0.49897934654145,0.0524137969056145,1
0.0556603773584906,57.688286163522,0.505204785060249,5.89573485647751,0.497455529289439,0.0522537320682184,1
0.0556603773584906,58.2249213836478,0.508275845675065,5.93157410354832,0.495950410805704,0.0520956313871538,1
0.0556603773584906,58.7615566037736,0.511337143054749,5.96729941376147,0.494463592444542,0.0519394529878721,1
0.0556603773584906,59.2981918238994,0.514388796978964,6.00291218494446,0.492994687600756,0.0517851562605836,1
0.0556603773584906,59.8348270440252,0.517430924688798,6.03841378529962,0.491543321240936,0.0516327018110227,1
0.0556603773584906,60.3714622641509,0.520463640962815,6.07380555429167,0.490109129457017,0.0514820514135522,1
0.0556603773584906,60.9080974842767,0.523487058190182,6.10908880350106,0.488691759040839,0.0513331679664747,1
0.0556603773584906,61.4447327044025,0.526501286440985,6.14426481744464,0.487290867078575,0.0511860154494301,1
0.0556603773584906,61.9813679245283,0.529506433533899,6.17933485436525,0.48590612056391,0.0510405588827636,1
0.0556603773584906,62.5180031446541,0.532502605101298,6.21430014699168,0.484537196028965,0.0508967642887568,1
0.0556603773584906,63.0546383647799,0.535489904651953,6.24916190327024,0.483183779192,0.0507545986546218,1
0.0556603773584906,63.5912735849057,0.538468433631406,6.28392130706944,0.481845564621003,0.0506140298971642,1
0.0556603773584906,64.1279088050315,0.541438291480142,6.31857951885871,0.480522255412319,0.0504750268290251,1
0.0556603773584906,64.6645440251572,0.544399575689634,6.35313767636262,0.479213562883522,0.0503375591264204,1
0.0556603773584906,65.201179245283,0.547352381856388,6.38759689519143,0.477919206279796,0.0502015972982979,1
0.0556603773584906,65.7378144654088,0.550296803734044,6.4219582694492,0.47663891249312,0.0500671126568403,1
0.0556603773584906,66.2744496855346,0.553232933283636,6.45622287232028,0.475372415793595,0.0499340772892431,1
0.0556603773584906,66.8110849056604,0.556160860722086,6.49039175663528,0.474119457572306,0.0498024640307044,1
0.0556603773584906,67.3477201257862,0.55908067456901,6.52446595541723,0.472879786095121,0.0496722464385631,1
0.0556603773584906,67.884355345912,0.561992461691897,6.55844648240888,0.471653156266892,0.0495433987675307,1
0.0556603773584906,68.4209905660377,0.564896307349752,6.59233433258196,0.470439329405531,0.0494158959459592,1
