k,a_mm,h_mm,p0_MPa,p0_GPa,severity_index
0.118341708542714,0.446957775125632,0.0375276628387784,7453.0167430607,7.4530167430607,0.638648075835969
0.123266331658291,0.44773362587704,0.0374929601204614,7438.93872835112,7.43893872835111,0.637441732510062
0.128190954773869,0.44851611721451,0.0374598937713044,7424.69357608072,7.42469357608072,0.636221067187399
0.133115577889447,0.449305292383189,0.0374284554411524,7410.28197310624,7.41028197310624,0.634986138724648
0.138040201005025,0.450101196055705,0.0373986372612697,7395.7045855627,7.3957045855627,0.633737004202837
0.142964824120603,0.450903874352474,0.0373704318405082,7380.96205892878,7.38096205892878,0.632473718932952
0.147889447236181,0.451713374863001,0.0373438322618317,7366.05501808407,7.36605501808407,0.631196336460848
0.152814070351759,0.452529746668171,0.0373188320791958,7350.98406735831,7.35098406735831,0.629904908571466
0.157738693467337,0.453353040363581,0.0372954253147783,7335.74979057247,7.33574979057247,0.62859948529235
0.162663316582915,0.454183308083918,0.0372736064565616,7320.35275107154,7.32035275107154,0.627280114896463
0.167587939698492,0.455020603528433,0.0372533704562631,7304.79349174915,7.30479349174915,0.625946843904294
0.17251256281407,0.45586498198753,0.0372347127276149,7289.07253506377,7.28907253506377,0.624599717085242
0.177437185929648,0.456716500370497,0.037217629144992,7273.19038304651,7.27319038304651,0.623238777458291
0.182361809045226,0.457575217234438,0.0372021160423892,7257.14751730029,7.25714751730029,0.621864066291936
0.187286432160804,0.458441192814405,0.0371881702127479,7240.94439899057,7.24094439899057,0.620475623103387
0.192211055276382,0.459314489054807,0.0371757889076339,7224.58146882709,7.22458146882709,0.619073485657006
0.19713567839196,0.460195169642101,0.0371649698372684,7208.05914703698,7.20805914703698,0.617657689962006
0.202060301507538,0.461083300038834,0.0371557111709144,7191.37783332873,7.19137783332873,0.616228270269354
0.206984924623116,0.461978947519064,0.0371480115376216,7174.53790684708,7.17453790684708,0.614785259067919
0.211909547738693,0.462882181205211,0.037141870027333,7157.53972611874,7.15753972611874,0.613328687079807
0.216834170854271,0.463793072106389,0.0371372861923581,7140.3836289885,7.1403836289885,0.611858583254899
0.221758793969849,0.464711693158263,0.0371342600492163,7123.06993254598,7.12306993254598,0.610374974764562
0.226683417085427,0.465638119264499,0.0371327920808567,7105.59893304243,7.10559893304243,0.608877886994531
0.231608040201005,0.466572427339838,0.0371328832392593,7087.97090579772,7.08797090579772,0.607367343536931
0.236532663316583,0.467514696354887,0.0371345349484251,7070.18610509717,7.07018610509717,0.605843366181438
0.241457286432161,0.468465007382659,0.0371377491077614,7052.24476407791,7.05224476407791,0.604305974905544
0.246381909547739,0.469423443646939,0.0371425280958701,7034.14709460489,7.03414709460489,0.602755187863932
0.251306532663317,0.470390090572558,0.0371488747747492,7015.89328713588,7.01589328713589,0.601191021376903
0.256231155778894,0.471365035837617,0.0371567924944135,6997.48351057557,6.99748351057557,0.599613489917878
0.261155778894472,0.472348369427765,0.0371662850979483,6978.91791211825,6.97891791211824,0.59802260609992
0.26608040201005,0.473340183692601,0.0371773569270037,6960.19661707899,6.96019661707899,0.596418380661259
0.271005025125628,0.474340573404271,0.0371900128277438,6941.31972871289,6.94131972871289,0.594800822449814
0.275929648241206,0.475349635818374,0.0372042581572603,6922.28732802218,6.92228732802218,0.593169938406654
0.280854271356784,0.476367470737242,0.0372200987904676,6903.09947355079,6.90309947355079,0.591525733548402
0.285778894472362,0.477394180575717,0.0372375411274899,6883.75620116603,6.88375620116603,0.589868210948523
0.29070351758794,0.4784298704295,0.0372565921015588,6864.25752382721,6.86425752382721,0.588197371717499
0.295628140703518,0.479474648146209,0.0372772591874354,6844.60343134047,6.84460343134047,0.58651321498182
0.300552763819096,0.480528624399235,0.0372995504103764,6824.79389009977,6.82479389009977,0.584815737861787
0.305477386934673,0.48159191276453,0.0373234743556605,6804.82884281343,6.80482884281343,0.583104935448084
0.310402010050251,0.482664629800444,0.0373490401786979,6784.70820821579,6.78470820821579,0.581380800777067
0.315326633165829,0.483746895130749,0.0373762576157402,6764.43188076362,6.76443188076362,0.579643324804749
0.320251256281407,0.48483883153099,0.0374051369952176,6743.99973031662,6.74399973031662,0.577892496379426
0.325175879396985,0.485940565018303,0.0374356892497226,6723.41160180176,6.72341160180176,0.576128302212906
0.330100502512563,0.487052224944859,0.0374679259286699,6702.66731486053,6.70266731486053,0.574350726850293
0.335025125628141,0.488173944095104,0.0375018592116558,6681.76666347899,6.68176666347899,0.572559752638278
0.339949748743719,0.489305858786947,0.0375375019225491,6660.70941559958,6.66070941559958,0.570755359691877
0.344874371859296,0.490448108977109,0.0375748675443406,6639.49531271439,6.63949531271439,0.56893752585958
0.349798994974874,0.491600838370791,0.0376139702347864,6618.12406943901,6.61812406943901,0.567106226686832
0.354723618090452,0.492764194535886,0.0376548248428781,6596.59537306632,6.59659537306632,0.565261435377799
0.35964824120603,0.493938329021944,0.0376974469261757,6574.9088830996,6.5749088830996,0.563403122755359
0.364572864321608,0.495123397484109,0.0377418527690438,6553.0642307639,6.5530642307639,0.561531257219235
0.369497487437186,0.496319559812273,0.0377880594018309,6531.0610184952,6.5310610184952,0.559645804702212
0.374422110552764,0.497526980265703,0.0378360846210357,6508.89881940614,6.50889881940614,0.557746728624367
0.379346733668342,0.498745827613392,0.0378859470105076,6486.5771767277,6.4865771767277,0.55583398984522
